"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00124240405386255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00190910661787361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000941663209197116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00166175565297372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00100632392655099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0018633555131105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00149799650958209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00145373581642209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00116787269571763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00242892549762725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00220534625385913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00373975263800933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000682164175196322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00220177510155924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0019093679473985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00107621179476478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00250089362635297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00334291428686733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00280290683412256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000830848934939574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000689869083825957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000818694050150183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00268910649626518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00196067998493277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00162320490093406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00156035733436561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000694392654108412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00193629107347083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00131517712699006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000753511057945408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000750836965430353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00180491475001669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000622563044852332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00111773072080117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00141175977632189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00109132573456571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00143152952766334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00236460450603125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00110881433344863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00222248444310757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000757310363816092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000609323893325383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000916971982150506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000950381635934991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000782959385361073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000684602068352105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00256360496489295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00156346697056441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00167514436382023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00112211888901979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000264775226518258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00289927432228173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00258547287359322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00136671461841089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000860941587770329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000753455896272188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000667100627502454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000556220017267329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00179959111658573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00115239151201201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00111988460666091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00181489888075601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00251850775141195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00138987692914754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00154560615951021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00169333615235703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00217961972771814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00115147957001516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00123802487227895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001179260146157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97645.9826429166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
